idx,farm_id,cycle_id,outer_fold,selected_config,actual_harvest_health,severe_event,forecast_harvest_health,phri_day60,pi_1,mu_1,sigma_1,pi_2,mu_2,sigma_2,pi_3,mu_3,sigma_3
0,FARM_01,FARM_01_C001,5,H64_K2_D10,0.7130773067474365,1,0.761937141418457,0.7418966556402611,0.6649177670478821,0.7655746340751648,0.033731672912836075,0.33508217334747314,0.7547191381454468,0.04478348419070244,,,
1,FARM_01,FARM_01_C002,5,H64_K2_D10,0.735551655292511,1,0.7524508833885193,0.8169787608493386,0.683327317237854,0.7555157542228699,0.033993758261203766,0.31667274236679077,0.7458372116088867,0.04572564736008644,,,
2,FARM_01,FARM_01_C003,5,H64_K2_D10,0.7617990374565125,1,0.7596802711486816,0.7612415238200653,0.6672695279121399,0.7635224461555481,0.033471427857875824,0.3327304720878601,0.7519748210906982,0.04537668824195862,,,
3,FARM_01,FARM_01_C004,5,H64_K2_D10,0.7171759605407715,1,0.7476005554199219,0.8435062861504943,0.6752455234527588,0.751135528087616,0.0347961001098156,0.3247544765472412,0.7402504086494446,0.046469442546367645,,,
4,FARM_01,FARM_01_C005,5,H64_K2_D10,0.7077764272689819,1,0.7702507376670837,0.6590920781067595,0.6021668910980225,0.7765145897865295,0.03445543348789215,0.39783310890197754,0.7607696652412415,0.042456261813640594,,,
5,FARM_01,FARM_01_C006,5,H64_K2_D10,0.7388002872467041,1,0.761727511882782,0.7464460097265307,0.6749565005302429,0.7650590538978577,0.033261511474847794,0.3250434994697571,0.754809558391571,0.04497864097356796,,,
6,FARM_01,FARM_01_C007,5,H64_K2_D10,0.7030007839202881,1,0.7649871110916138,0.7177565296075008,0.6626216173171997,0.7685683369636536,0.03289185091853142,0.3373784124851227,0.7579532265663147,0.04458101466298103,,,
7,FARM_01,FARM_01_C008,5,H64_K2_D10,0.7727922201156616,1,0.7798511981964111,0.570812579894028,0.634101927280426,0.7827584743499756,0.031124688684940338,0.36589810252189636,0.7748128175735474,0.041385799646377563,,,
8,FARM_01,FARM_01_C009,5,H64_K2_D10,0.7289352416992188,1,0.7702722549438477,0.6705397001387247,0.6396821737289429,0.7734944820404053,0.032604921609163284,0.36031782627105713,0.7645516395568848,0.04217397794127464,,,
9,FARM_01,FARM_01_C010,5,H64_K2_D10,0.733232855796814,1,0.7649376392364502,0.7155820462639073,0.6617370843887329,0.7695976495742798,0.033080365508794785,0.3382628858089447,0.7558212876319885,0.044290121644735336,,,
10,FARM_01,FARM_01_C011,5,H64_K2_D10,0.7504218816757202,1,0.7741111516952515,0.6328308267088666,0.6398800611495972,0.7776353359222412,0.031422410160303116,0.36011990904808044,0.7678492069244385,0.041861046105623245,,,
11,FARM_01,FARM_01_C012,5,H64_K2_D10,0.7857198715209961,1,0.7754926085472107,0.6170153067386768,0.642039954662323,0.7793816924095154,0.03152214363217354,0.3579600751399994,0.7685170769691467,0.04160179942846298,,,
12,FARM_01,FARM_01_C013,5,H64_K2_D10,0.7728557586669922,1,0.7822184562683105,0.5450223606587541,0.6277305483818054,0.7848185300827026,0.030666593462228775,0.3722693920135498,0.7778342366218567,0.040537744760513306,,,
13,FARM_01,FARM_01_C014,5,H64_K2_D10,0.7884801626205444,0,0.795002281665802,0.392581824601952,0.5914528965950012,0.7991570830345154,0.03002477064728737,0.40854716300964355,0.7889872789382935,0.03816485404968262,,,
14,FARM_01,FARM_01_C015,5,H64_K2_D10,0.7560093998908997,1,0.7933124303817749,0.4123016112150183,0.5873973369598389,0.7960205674171448,0.02927512302994728,0.4126026928424835,0.7894569635391235,0.03859112411737442,,,
15,FARM_01,FARM_01_C016,5,H64_K2_D10,0.7654447555541992,1,0.7841041088104248,0.5211155579361075,0.6132422089576721,0.7877871990203857,0.030612986534833908,0.3867577910423279,0.7782641649246216,0.0399177186191082,,,
16,FARM_01,FARM_01_C017,5,H64_K2_D10,0.7448345422744751,1,0.7951489686965942,0.3915432813482458,0.58879154920578,0.7993370294570923,0.03025105595588684,0.41120845079421997,0.789152204990387,0.03784240782260895,,,
17,FARM_01,FARM_01_C018,5,H64_K2_D10,0.7629112601280212,1,0.7850832939147949,0.5098926269552702,0.5938757061958313,0.7891829013824463,0.03115474432706833,0.4061243236064911,0.7790883779525757,0.039166130125522614,,,
18,FARM_01,FARM_01_C019,5,H64_K2_D10,0.7323939800262451,1,0.7679460048675537,0.6888111167833323,0.6354519128799438,0.7727304697036743,0.03327905759215355,0.36454805731773376,0.7596062421798706,0.04206765443086624,,,
19,FARM_01,FARM_01_C020,5,H64_K2_D10,0.791429340839386,0,0.7665454149246216,0.7028889807353478,0.6578677296638489,0.7707266211509705,0.033085424453020096,0.3421323299407959,0.758505642414093,0.04326556995511055,,,
20,FARM_01,FARM_01_C021,5,H64_K2_D10,0.6891258955001831,1,0.7645149230957031,0.7261793481229523,0.6637128591537476,0.7676052451133728,0.0325329564511776,0.3362872004508972,0.7584155797958374,0.043603938072919846,,,
21,FARM_01,FARM_01_C022,5,H64_K2_D10,0.7501577734947205,1,0.7692149877548218,0.6795013693884447,0.6540828943252563,0.7728777527809143,0.03267795220017433,0.34591710567474365,0.7622891664505005,0.04287635535001755,,,
22,FARM_01,FARM_01_C023,5,H64_K2_D10,0.7488152384757996,1,0.7526837587356567,0.810863083052578,0.679007351398468,0.7566344738006592,0.03446382284164429,0.3209925889968872,0.7443267107009888,0.046145305037498474,,,
23,FARM_01,FARM_01_C024,5,H64_K2_D10,0.7144836187362671,1,0.7744412422180176,0.6285630222228258,0.6244838833808899,0.7781679034233093,0.03182206302881241,0.3755161166191101,0.7682438492774963,0.041206132620573044,,,
24,FARM_01,FARM_01_C025,5,H64_K2_D10,0.7603767514228821,1,0.7545415163040161,0.792332855224272,0.6743089556694031,0.7592066526412964,0.03513301908969879,0.32569101452827454,0.7448828816413879,0.04634059593081474,,,
25,FARM_01,FARM_01_C026,5,H64_K2_D10,0.7884414792060852,0,0.7701169848442078,0.6677311751934161,0.6289922595024109,0.7745968103408813,0.03278488293290138,0.3710077106952667,0.7625221014022827,0.042806316167116165,,,
26,FARM_01,FARM_01_C027,5,H64_K2_D10,0.7573798894882202,1,0.778579831123352,0.5812002241047222,0.5998506546020508,0.7832237482070923,0.03253931552171707,0.4001493752002716,0.7716183066368103,0.040516261011362076,,,
27,FARM_01,FARM_01_C028,5,H64_K2_D10,0.7426350712776184,1,0.7756531238555908,0.6107040397246305,0.6142790913581848,0.7807429432868958,0.03335466608405113,0.3857209086418152,0.7675474882125854,0.04091889411211014,,,
28,FARM_01,FARM_01_C029,5,H64_K2_D10,0.7553806304931641,1,0.7717869281768799,0.6590212067392007,0.6369256973266602,0.7748351693153381,0.031331758946180344,0.3630743622779846,0.7664393186569214,0.04192441329360008,,,
29,FARM_01,FARM_01_C030,5,H64_K2_D10,0.7534093260765076,1,0.7651344537734985,0.715955972111871,0.6621659994125366,0.7685014009475708,0.033400192856788635,0.3378339409828186,0.7585353255271912,0.043909259140491486,,,
30,FARM_01,FARM_01_C031,5,H64_K2_D10,0.7633728384971619,1,0.7609029412269592,0.7525756327168031,0.6699334383010864,0.7645812630653381,0.03350419923663139,0.3300665616989136,0.7534371614456177,0.044462647289037704,,,
31,FARM_01,FARM_01_C032,5,H64_K2_D10,0.7850949168205261,1,0.7670527100563049,0.7050273430931033,0.6650210022926331,0.7694240212440491,0.032256629317998886,0.33497896790504456,0.7623451948165894,0.04317013546824455,,,
32,FARM_01,FARM_01_C033,5,H64_K2_D10,0.7548366189002991,1,0.803352415561676,0.2991760526628269,0.5439477562904358,0.806972324848175,0.029566030949354172,0.4560522437095642,0.799034833908081,0.03631913661956787,,,
33,FARM_01,FARM_01_C034,5,H64_K2_D10,0.7522144317626953,1,0.7989716529846191,0.3478520935757189,0.5662084817886353,0.803453266620636,0.029986221343278885,0.43379148840904236,0.7931219935417175,0.0370919294655323,,,
34,FARM_01,FARM_01_C035,5,H64_K2_D10,0.7371407151222229,1,0.8106626272201538,0.22535044031592547,0.5278971195220947,0.8141152858734131,0.029249053448438644,0.4721028804779053,0.806801974773407,0.035690996795892715,,,
35,FARM_01,FARM_01_C036,5,H64_K2_D10,0.7491334676742554,1,0.7804440855979919,0.560272303758317,0.6327128410339355,0.7850930690765381,0.03165300935506821,0.36728718876838684,0.7724354267120361,0.04103170707821846,,,
36,FARM_01,FARM_01_C037,5,H64_K2_D10,0.7781744599342346,1,0.7763388156890869,0.6078807069259698,0.6364113092422485,0.7802250385284424,0.03119547665119171,0.36358869075775146,0.7695364952087402,0.04175090044736862,,,
37,FARM_01,FARM_01_C038,5,H64_K2_D10,0.7494054436683655,1,0.7752090692520142,0.6163459905239143,0.6251344680786133,0.7803587317466736,0.032267145812511444,0.3748655617237091,0.7666212320327759,0.04126032441854477,,,
38,FARM_01,FARM_01_C039,5,H64_K2_D10,0.7410966157913208,1,0.7984504699707031,0.355590200663883,0.5615888833999634,0.8017717003822327,0.030353549867868423,0.4384111166000366,0.7941961884498596,0.0370514951646328,,,
39,FARM_01,FARM_01_C040,5,H64_K2_D10,0.7360712289810181,1,0.7608150243759155,0.7591624175183163,0.6711270809173584,0.7627071142196655,0.032995909452438354,0.3288729190826416,0.7569538354873657,0.0440942719578743,,,
40,FARM_01,FARM_01_C041,5,H64_K2_D10,0.7143310904502869,1,0.7882327437400818,0.474492389566331,0.5983878970146179,0.7912270426750183,0.030644118785858154,0.4016120731830597,0.7837713956832886,0.03837336599826813,,,
41,FARM_01,FARM_01_C042,5,H64_K2_D10,0.7854955196380615,1,0.7489379644393921,0.8369779047783026,0.6971163153648376,0.7519885897636414,0.03438980504870415,0.3028836250305176,0.741916835308075,0.047634951770305634,,,
42,FARM_01,FARM_01_C043,5,H64_K2_D10,0.7382405400276184,1,0.768220067024231,0.6888803891866253,0.6469144225120544,0.7716645002365112,0.03307320922613144,0.35308560729026794,0.7619091272354126,0.04257241636514664,,,
43,FARM_01,FARM_01_C044,5,H64_K2_D10,0.7608353495597839,1,0.7746445536613464,0.6228693564611295,0.622521698474884,0.7790273427963257,0.032499413937330246,0.37747833132743835,0.7674165964126587,0.041786618530750275,,,
44,FARM_01,FARM_01_C045,5,H64_K2_D10,0.7516485452651978,1,0.7641298770904541,0.720632796916465,0.6572376489639282,0.7686074376106262,0.034044649451971054,0.34276238083839417,0.7555442452430725,0.04384826868772507,,,
45,FARM_01,FARM_01_C046,5,H64_K2_D10,0.7481557726860046,1,0.7748987078666687,0.6183895687402946,0.6142742037773132,0.779323160648346,0.033246155828237534,0.3857257664203644,0.767852783203125,0.04203850030899048,,,
46,FARM_01,FARM_01_C047,5,H64_K2_D10,0.7271860837936401,1,0.7586961984634399,0.7618125038771354,0.6595226526260376,0.7634440064430237,0.035245656967163086,0.3404773473739624,0.749499499797821,0.044389884918928146,,,
47,FARM_01,FARM_01_C048,5,H64_K2_D10,0.7427886128425598,1,0.7569480538368225,0.7816615274560801,0.6759044528007507,0.7612210512161255,0.03369031101465225,0.3240955173969269,0.7480367422103882,0.04586052894592285,,,
48,FARM_01,FARM_01_C049,5,H64_K2_D10,0.7437165975570679,1,0.7633745670318604,0.7339767768429057,0.6612260341644287,0.7665072083473206,0.03279873728752136,0.33877402544021606,0.7572602033615112,0.04452359676361084,,,
49,FARM_01,FARM_01_C050,5,H64_K2_D10,0.7373536229133606,1,0.7477015852928162,0.843853634703321,0.6785818338394165,0.7515316009521484,0.03430076315999031,0.3214181661605835,0.7396156787872314,0.04721248894929886,,,
50,FARM_01,FARM_01_C051,5,H64_K2_D10,0.7890520095825195,0,0.7715413570404053,0.6500119895200958,0.6487264633178711,0.7769378423690796,0.03315633535385132,0.3512735366821289,0.7615750432014465,0.043203677982091904,,,
51,FARM_01,FARM_01_C052,5,H64_K2_D10,0.7478440403938293,1,0.7747262120246887,0.6264261697352231,0.6521986722946167,0.7772843241691589,0.03199441358447075,0.3478013575077057,0.7699291110038757,0.042552657425403595,,,
52,FARM_01,FARM_01_C053,5,H64_K2_D10,0.7781656384468079,1,0.7863318920135498,0.492985274808107,0.6080566048622131,0.7913880944252014,0.03148419409990311,0.39194342494010925,0.7784875631332397,0.040545523166656494,,,
53,FARM_01,FARM_01_C054,5,H64_K2_D10,0.7527291774749756,1,0.7784403562545776,0.5843433464474933,0.6361883878707886,0.782413125038147,0.0316673219203949,0.3638116121292114,0.7714933156967163,0.04106670990586281,,,
