farm_id,cycle_id,split,actual_harvest_health,severe_event,forecast_harvest_health,phri_day60_raw
FARM_01,FARM_01_C001,train,0.7130772910186238,1,0.7591875390467633,0.7368307983298199
FARM_01,FARM_01_C002,train,0.7355516484860665,1,0.7499237250292223,0.8164149425731628
FARM_01,FARM_01_C003,train,0.761799040479472,1,0.7731498046568681,0.6173464921890713
FARM_01,FARM_01_C004,train,0.7171759461891012,1,0.7779714997318341,0.5791990373485603
FARM_01,FARM_01_C005,train,0.7077764355867603,1,0.7922474692166528,0.46909340513002007
FARM_01,FARM_01_C006,train,0.7388002929988645,1,0.8040793895792296,0.36466051715874753
FARM_01,FARM_01_C007,train,0.7030007874104025,1,0.7699343766082702,0.6437657667913408
FARM_01,FARM_01_C008,train,0.7727922138325506,1,0.7735778437162174,0.613891600330802
FARM_01,FARM_01_C009,train,0.7289352688833588,1,0.7814699430623125,0.552347705585406
FARM_01,FARM_01_C010,train,0.733232857359273,1,0.7590171579352991,0.7383328520701284
FARM_01,FARM_01_C011,train,0.7504219091502726,1,0.7682718024964609,0.6577446632761544
FARM_01,FARM_01_C012,train,0.7857198710559004,1,0.7633629265528323,0.7000854451551781
FARM_01,FARM_01_C013,train,0.7728557810884291,1,0.7657201249949579,0.6795802936048745
FARM_01,FARM_01_C014,train,0.7884801557501767,0,0.777796493667759,0.5805569060180052
FARM_01,FARM_01_C015,train,0.7560093710744991,1,0.7758785827043568,0.595559389634652
FARM_01,FARM_01_C016,train,0.7654447801090858,1,0.78330271024298,0.5384164082079245
FARM_01,FARM_01_C017,train,0.7448345464906554,1,0.7677823501061525,0.6618990300165397
FARM_01,FARM_01_C018,train,0.7629112387708652,1,0.7890720526599392,0.49424027831510187
FARM_01,FARM_01_C019,train,0.7323939565001818,1,0.7755008133595098,0.5985429420583002
FARM_01,FARM_01_C020,train,0.7914293241234246,0,0.7572774523102115,0.7536408837927839
FARM_01,FARM_01_C021,train,0.6891258773016149,1,0.7805405325026155,0.5594366864889657
FARM_01,FARM_01_C022,train,0.7501577558577659,1,0.7470003571743764,0.839723036264856
FARM_01,FARM_01_C023,train,0.7488152194950218,1,0.7519826522785773,0.7993227270282659
FARM_01,FARM_01_C024,train,0.7144836376833601,1,0.7577950459487146,0.7490938486020595
FARM_01,FARM_01_C025,train,0.7603767620944063,1,0.771965620209294,0.6269801307477423
FARM_01,FARM_01_C026,train,0.7884415037750634,0,0.7627902624365642,0.7051032092419719
FARM_01,FARM_01_C027,train,0.757379909208562,1,0.800401635313407,0.3991782151594414
FARM_01,FARM_01_C028,train,0.7426350499721509,1,0.774451794260992,0.6068816124543809
FARM_01,FARM_01_C029,train,0.7553806069580957,1,0.7771785598881066,0.5853655370430223
FARM_01,FARM_01_C030,train,0.75340930583984,1,0.7762864811184129,0.5923489017697123
FARM_01,FARM_01_C031,train,0.7633728152028512,1,0.7503055490946431,0.8132832207481924
FARM_01,FARM_01_C032,train,0.7850949327494445,1,0.7436416815670636,0.8647879167043256
FARM_01,FARM_01_C033,train,0.7548366107393103,1,0.8125147613699842,0.280145528679943
FARM_01,FARM_01_C034,train,0.7522144041546515,1,0.7986508464408146,0.41494997550788704
FARM_01,FARM_01_C035,train,0.7371407136577961,1,0.8183676070471564,0.22070639164447053
FARM_01,FARM_01_C036,train,0.7491334847498171,1,0.7721752285762826,0.6252667642011532
FARM_01,FARM_01_C037,train,0.7781744621075855,1,0.7933384369010545,0.46022807886870354
FARM_01,FARM_01_C038,train,0.7494054439284445,1,0.7929056407832293,0.46376065874267625
FARM_01,FARM_01_C039,train,0.7410966276412365,1,0.8218977075824576,0.18637714577753728
FARM_01,FARM_01_C040,train,0.736071249003662,1,0.765842149172517,0.6785266575397877
FARM_01,FARM_01_C041,train,0.7143310925008448,1,0.7662847356890373,0.6747124978278862
FARM_01,FARM_01_C042,train,0.7854955309249672,1,0.7706657429807893,0.6376841032519754
