farm_id,climate_zone,management_quality,stocking_intensity,sum_insured_weight
FARM_01,coastal_wet,0.35,1.15,0.75
FARM_02,coastal_dry,0.39999999999999997,1.0954545454545455,0.7954545454545454
FARM_03,estuarine,0.44999999999999996,1.040909090909091,0.8409090909090909
FARM_04,coastal_wet,0.5,0.9863636363636363,0.8863636363636364
FARM_05,coastal_dry,0.55,0.9318181818181818,0.9318181818181819
FARM_06,estuarine,0.6,0.8772727272727272,0.9772727272727273
FARM_07,coastal_wet,0.65,0.8227272727272728,1.0227272727272727
FARM_08,coastal_dry,0.7,0.7681818181818182,1.0681818181818181
FARM_09,estuarine,0.75,0.7136363636363636,1.1136363636363638
FARM_10,coastal_wet,0.8,0.6590909090909092,1.1590909090909092
FARM_11,coastal_dry,0.85,0.6045454545454546,1.2045454545454546
FARM_12,estuarine,0.9,0.55,1.25
